pres
,გკრავ,ვკრავ,,გკრავთ,ვკრავ,
მკრავ,,კრავ,გვკრავ,,კრავ,
მკრავს,გკრავს,კრავს,გვკრავს,გკრავთ,კრავს,
,გკრავთ,ვკრავთ,,გკრავთ,ვკრავთ,
მკრავთ,,კრავთ,გვკრავთ,,კრავთ,
მკრავენ,გკრავენ,კრავენ,გვკრავენ,გკრავენ,კრავენ,
fut
,აღმოგკრავ,აღმოვკრავ,,აღმოგკრავთ,აღმოვკრავ,
აღმომკრავ,,აღმოკრავ,აღმოგვკრავ,,აღმოკრავ,
აღმომკრავს,აღმოგკრავს,აღმოკრავს,აღმოგვკრავს,აღმოგკრავთ,აღმოკრავს,
,აღმოგკრავთ,აღმოვკრავთ,,აღმოგკრავთ,აღმოვკრავთ,
აღმომკრავთ,,აღმოკრავთ,აღმოგვკრავთ,,აღმოკრავთ,
აღმომკრავენ,აღმოგკრავენ,აღმოკრავენ,აღმოგვკრავენ,აღმოგკრავენ,აღმოკრავენ,
impf
,გკრავდი,ვკრავდი,,გკრავდით,ვკრავდი,
მკრავდი,,კრავდი,გვკრავდი,,კრავდი,
მკრავდა,გკრავდა,კრავდა,გვკრავდა,გკრავდათ,კრავდა,
,გკრავდით,ვკრავდით,,გკრავდით,ვკრავდით,
მკრავდით,,კრავდით,გვკრავდით,,კრავდით,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
cond
,აღმოგკრავდი,აღმოვკრავდი,,აღმოგკრავდით,აღმოვკრავდი,
აღმომკრავდი,,აღმოკრავდი,აღმოგვკრავდი,,აღმოკრავდი,
აღმომკრავდა,აღმოგკრავდა,აღმოკრავდა,აღმოგვკრავდა,აღმოგკრავდათ,აღმოკრავდა,
,აღმოგკრავდით,აღმოვკრავდით,,აღმოგკრავდით,აღმოვკრავდით,
აღმომკრავდით,,აღმოკრავდით,აღმოგვკრავდით,,აღმოკრავდით,
აღმომკრავდნენ,აღმოგკრავდნენ,აღმოკრავდნენ,აღმოგვკრავდნენ,აღმოგკრავდნენ,აღმოკრავდნენ,
subj
,გკრავდე,ვკრავდე,,გკრავდეთ,ვკრავდე,
მკრავდე,,კრავდე,გვკრავდე,,კრავდე,
მკრავდეს,გკრავდეს,კრავდეს,გვკრავდეს,გკრავდეთ,კრავდეს,
,გკრავდეთ,ვკრავდეთ,,გკრავდეთ,ვკრავდეთ,
მკრავდეთ,,კრავდეთ,გვკრავდეთ,,კრავდეთ,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
fut_subj
,აღმოგკრავდე,აღმოვკრავდე,,აღმოგკრავდეთ,აღმოვკრავდე,
აღმომკრავდე,,აღმოკრავდე,აღმოგვკრავდე,,აღმოკრავდე,
აღმომკრავდეს,აღმოგკრავდეს,აღმოკრავდეს,აღმოგვკრავდეს,აღმოგკრავდეთ,აღმოკრავდეს,
,აღმოგკრავდეთ,აღმოვკრავდეთ,,აღმოგკრავდეთ,აღმოვკრავდეთ,
აღმომკრავდეთ,,აღმოკრავდეთ,აღმოგვკრავდეთ,,აღმოკრავდეთ,
